regName,sname,ad_prov,province
北京市,北京,11,Beijing
天津市,天津,12,Tianjin
河北省,河北,13,Hebei
山西省,山西,14,Shanxi
内蒙古自治区,内蒙古,15,Inner Mongolia
辽宁省,辽宁,21,Liaoning
吉林省,吉林,22,Jilin
黑龙江省,黑龙江,23,Heilongjiang
上海市,上海,31,Shanghai
江苏省,江苏,32,Jiangsu
浙江省,浙江,33,Zhejiang
安徽省,安徽,34,Anhui
福建省,福建,35,Fujian
江西省,江西,36,Jiangxi
山东省,山东,37,Shandong
河南省,河南,41,Henan
湖北省,湖北,42,Hubei
湖南省,湖南,43,Hunan
广东省,广东,44,Guangdong
广西壮族自治区,广西,45,Guangxi
海南省,海南,46,Hainan
重庆市,重庆,50,Chongqing
四川省,四川,51,Sichuan
贵州省,贵州,52,Guizhou
云南省,云南,53,Yunnan
西藏自治区,西藏,54,Tibet
陕西省,陕西,61,Shaanxi
甘肃省,甘肃,62,Gansu
青海省,青海,63,Qinghai
宁夏回族自治区,宁夏,64,Ningxia
新疆维吾尔自治区,新疆,65,Xinjiang
